State,Watershed,Site,Lat,Lon,Area.m2,Code,Network role,Notes
New Mexico,Santa Fe Watershed,USF03,35.70785,-105.80577,28885655,NM,Mainstem,"at end of road, just upstream of log crossing mainstem, on mainstem. Latlon adjusted on 2024-05-08 to fall on R-generated streamlines."
New Mexico,Santa Fe Watershed,USF04,35.72103,-105.7979,1857528,NM,Tributary,at small trib on mainstem RR. Latlon adjusted on 2024-05-08 to fall on R-generated streamlines.
New Mexico,Santa Fe Watershed,USF05,35.72102,-105.7978,25453951,NM,Mainstem,at mainstem just upstream of USF4. Latlon adjusted on 2024-05-08 to fall on R-generated streamlines.
New Mexico,Santa Fe Watershed,USF07,35.73046,-105.7913,2296412,NM,Tributary,"at trib entering mainstem RR, upstream from trib waterfall, downstream from trail. Latlon adjusted on 2024-05-08 to fall on R-generated streamlines."
New Mexico,Santa Fe Watershed,USF09,35.74937,-105.7783,1941988,NM,,at trib that enters mainstem on mainstem RR. Latlon in this spreadsheet adjusted on 2024-05-08 to fall on R-generated streamlines. NOTE that the point is NOT adjusted in Gaia because this R-generated streamline is fairly far off from the sampling location and so would be difficult to find in the field if we adjusted it in Gaia.
New Mexico,Santa Fe Watershed,USF10,35.74887,-105.7771,6404955,NM,Mainstem,at mainstem above confluence with USF11 (USF11 is the secondary mainstem/largest trib). Latlon in this spreadsheet adjusted on 2024-05-08 to fall on R-generated streamlines. NOTE that the point is NOT adjusted in Gaia because this R-generated streamline is fairly far off from the sampling location and so would be difficult to find in the field if we adjusted it in Gaia.
New Mexico,Santa Fe Watershed,USF11,35.74505,-105.77615,5003890,NM,,"at secondary mainstem/largest trib, which enters mainstem on RL. Latlon adjusted on 2024-05-08 to fall on R-generated streamlines."
New Mexico,Santa Fe Watershed,USF12,35.68878,-105.82297,35946207,NM,Outlet,at mainstem upstream from USF2. Latlon adjusted on 2024-05-08 to fall on R-generated streamlines.
New Mexico,Santa Fe Watershed,USF13,35.7806,-105.77443,756190.5,NM,,"at trib entering mainstem from mainstem RR, draining western upper watershed. Sampled close to mainstem the first time it was sampled, and then sampled more upstream on the trib thereafter because there are several small inflows to ms that may be part of USF13's drainage network. Latlon adjusted on 2024-05-08 to fall on R-generated streamlines."
New Mexico,Santa Fe Watershed,USF14,35.77946,-105.77356,2026488,NM,Mainstem,"at mainstem upstream of USF13 (and upstream of the inflows that might be part of USF13), draining East upper watershed. Latlon adjusted on 2024-05-08 to fall on R-generated streamlines."
New Mexico,Santa Fe Watershed,USF16,35.78391,-105.77136,387371.4,NM,Tributary,"at ""trib"" draining the upper east subcatchment of whole watershed. Latlon adjusted on 2024-05-08 to fall on R-generated streamlines."
New Mexico,Santa Fe Watershed,USF19,35.7888,-105.77641,118050.3,NM,Mainstem,below lake where stream emerges from underground. Latlon adjusted on 2024-05-08 to fall on R-generated streamlines.
New Mexico,Santa Fe Watershed,USF20,35.73099,-105.79001,19141915,NM,Mainstem,"At mainstem upstream from where USF7 joins mainstem. USF6 was established in 2023, but this site replaced USF6 in 2024 because it is easier to access. Latlon adjusted on 2024-05-08 to fall on R-generated streamlines."
New Mexico,Santa Fe Watershed,USF21,35.77915,-105.77381,2818745,NM,Mainstem,at mainstem downstream of USF13 and USF14. Lowest point in the upper watershed!
