State,Watershed,Site,Lat,Lon,Area.m2,Code,Network role,Notes,GIS,,,
New Mexico,Santa Fe Watershed,USF01,35.6886,-105.8241,37633358,NM,Mainstem,at old USGS station (not current big cement flume) just upstream on mainstem of Santa Fe River above McClure reservoir. No longer sampled after 2023. Latlon adjusted on 2024-05-08 to fall on R-generated streamlines.,,,,
New Mexico,Santa Fe Watershed,USF02,35.68839,-105.82343,1654896,NM,Tributary,"at first trib above McClure resevoir entering mainstem on river left, sampled upstream from road. No longer sampled after 2023. Latlon adjusted on 2024-05-08 to fall on R-generated streamlines.",,,,
New Mexico,Santa Fe Watershed,USF03,35.70785,-105.80577,28885655,NM,Mainstem,"at end of road, just upstream of log crossing mainstem, on mainstem. Latlon adjusted on 2024-05-08 to fall on R-generated streamlines.",,,,
New Mexico,Santa Fe Watershed,USF04,35.72103,-105.7979,1857528,NM,Tributary,at small trib on mainstem RR. Latlon adjusted on 2024-05-08 to fall on R-generated streamlines.,,,,
New Mexico,Santa Fe Watershed,USF05,35.72102,-105.7978,25453951,NM,Mainstem,at mainstem just upstream of USF4. Latlon adjusted on 2024-05-08 to fall on R-generated streamlines.,,,,
New Mexico,Santa Fe Watershed,USF06,35.73015,-105.79069,21454810,NM,Mainstem,"at mainstem upstream from trib that trail crosses. Latlon adjusted on 2024-05-08 to fall on R-generated streamlines. Sampled here in 2023, but a new site was established in 2024 just upstream. ",,,,
New Mexico,Santa Fe Watershed,USF07,35.73046,-105.7913,2296412,NM,Tributary,"at trib entering mainstem RR, upstream from trib waterfall, downstream from trail. Latlon adjusted on 2024-05-08 to fall on R-generated streamlines.",,,,
New Mexico,Santa Fe Watershed,USF08,35.71702,-105.80235,82419.44,NM,,"at barely trickling trib entering mainstem on RR, sampled upstream from trail. Latlon adjusted on 2024-05-08 to fall on R-generated streamlines.",,,,
New Mexico,Santa Fe Watershed,USF09,35.74937,-105.7783,1941988,NM,,at trib that enters mainstem on mainstem RR. Latlon in this spreadsheet adjusted on 2024-05-08 to fall on R-generated streamlines. NOTE that the point is NOT adjusted in Gaia because this R-generated streamline is fairly far off from the sampling location and so would be difficult to find in the field if we adjusted it in Gaia.,,,,
New Mexico,Santa Fe Watershed,USF10,35.74887,-105.7771,6404955,NM,Mainstem,at mainstem above confluence with USF11 (USF11 is the secondary mainstem/largest trib). Latlon in this spreadsheet adjusted on 2024-05-08 to fall on R-generated streamlines. NOTE that the point is NOT adjusted in Gaia because this R-generated streamline is fairly far off from the sampling location and so would be difficult to find in the field if we adjusted it in Gaia.,,,,
New Mexico,Santa Fe Watershed,USF11,35.74505,-105.77615,5003890,NM,,"at secondary mainstem/largest trib, which enters mainstem on RL. Latlon adjusted on 2024-05-08 to fall on R-generated streamlines.",,,,
New Mexico,Santa Fe Watershed,USF12,35.68878,-105.82297,35946207,NM,Outlet,at mainstem upstream from USF2. Latlon adjusted on 2024-05-08 to fall on R-generated streamlines.,,,,
New Mexico,Santa Fe Watershed,USF13,35.7806,-105.77443,756190.5,NM,,"at trib entering mainstem from mainstem RR, draining western upper watershed. Sampled close to mainstem the first time it was sampled, and then sampled more upstream on the trib thereafter because there are several small inflows to ms that may be part of USF13's drainage network. Latlon adjusted on 2024-05-08 to fall on R-generated streamlines.",,,,
New Mexico,Santa Fe Watershed,USF14,35.77946,-105.77356,2026488,NM,Mainstem,"at mainstem upstream of USF13 (and upstream of the inflows that might be part of USF13), draining East upper watershed. Latlon adjusted on 2024-05-08 to fall on R-generated streamlines.",,,,
New Mexico,Santa Fe Watershed,USF15,35.78403,-105.77209,848920.2,NM,Mainstem,"at ""mainstem"" Santa Fe River (as hydro maps show it), though the closest trib (USF16) is larger. Sampled ABOVE a meadow that is formed by the confluence of USF15 and USF16. Latlon adjusted on 2024-05-08 to fall on R-generated streamlines.",,,,
New Mexico,Santa Fe Watershed,USF16,35.78391,-105.77136,387371.4,NM,Tributary,"at ""trib"" draining the upper east subcatchment of whole watershed. Latlon adjusted on 2024-05-08 to fall on R-generated streamlines.",,,,
New Mexico,Santa Fe Watershed,USF17,35.78192,-105.77138,219441.8,NM,Tributary,at trib draining East watershed. Latlon adjusted on 2024-05-08 to fall on R-generated streamlines.,,,,
New Mexico,Santa Fe Watershed,USF18,35.78298,-105.77126,114357,NM,Tributary,at trib draining East watershed. Latlon adjusted on 2024-05-08 to fall on R-generated streamlines.,,,,
New Mexico,Santa Fe Watershed,USF19,35.7888,-105.77641,118050.3,NM,Mainstem,below lake where stream emerges from underground. Latlon adjusted on 2024-05-08 to fall on R-generated streamlines.,,,,
New Mexico,Santa Fe Watershed,USF20,35.73099,-105.79001,19141915,NM,Mainstem,"At mainstem upstream from where USF7 joins mainstem. USF6 was established in 2023, but this site replaced USF6 in 2024 because it is easier to access. Latlon adjusted on 2024-05-08 to fall on R-generated streamlines.",,,,
New Mexico,Santa Fe Watershed,USF21,35.77915,-105.77381,2818745,NM,Mainstem,at mainstem downstream of USF13 and USF14. Lowest point in the upper watershed!,,,,
New Mexico,Santa Fe Watershed,USF22,35.73166,-105.7937,685111.6,NM,Tributary,,,,,
New Mexico,Santa Fe Watershed,USF23,35.73186,-105.7932,1428947,NM,Tributary,,,,,
New Mexico,Santa Fe Watershed,USF24,35.68912,-105.8199,1484873,NM,Tributary,,,,,
New Mexico,Santa Fe Watershed,USF25,35.69586,-105.81306,1144825,NM,Tributary,,,,,
New Mexico,Santa Fe Watershed,USF26,35.70311,-105.80703,429695.9,NM,Tributary,,,,,
New Mexico,Santa Fe Watershed,USF27,35.7868,-105.77811,190933.5,NM,Tributary,,,,,
New Mexico,Santa Fe Watershed,USF28,35.78035,-105.77231,56663.36,NM,Tributary,,,,,
New Mexico,Santa Fe Watershed,USF29,35.78164,-105.77125,71086.77,NM,Tributary,,,,,
New Mexico,Santa Fe Watershed,USF30,35.78891,-105.77715,0,NM,Lake outlet,,,,,
New Mexico,Santa Fe Watershed,USF31,,,,NM,,,,,,
Arkansas ,Brush Creek Watershed,BRM01,36.133833,-93.951439,52546187,BR,Outlet,,51638700,,,
Arkansas ,Brush Creek Watershed,BRMQ1,36.131364,-93.947742,52426956,BR,,access by walking under 45 bridge and then back upstream; no tresspassing signs by road,47434500,,,
Arkansas ,Brush Creek Watershed,BRAA1,36.131419,-93.948274,4013941,BR,,tributary off 344. Between BRM01 and BRA01,3945200,,,
Arkansas ,Brush Creek Watershed,BRA01,36.122525,-93.931606,3063372,BR,,3 reps of nuts. and DOC,2993900,,,
Arkansas ,Brush Creek Watershed,BRM02,36.11495,-93.923281,40019899,BR,,2 reps of nuts. and DOC,39432900,,,
Arkansas ,Brush Creek Watershed,BRAB1,36.113307,-93.922489,1321342,BR,,"tributary off 7304, right at intersection",1272900,,,
Arkansas ,Brush Creek Watershed,BRB01,36.107483,-93.910764,1659956,BR,,,1684600,,,
Arkansas ,Brush Creek Watershed,BRM03,36.106186,-93.902639,30932496,BR,,2 reps of nuts. and DOC,30485600,,,
Arkansas ,Brush Creek Watershed,BRMQ3,36.105253,-93.897499,27578785,BR,,mainstem off 7275 at the intersection between BRM03 and BRC01,27248400,captures more than it should,,
Arkansas ,Brush Creek Watershed,BRM04,36.099983,-93.892897,27400199,BR,,2 reps of nuts. and DOC,26705000,,,
Arkansas ,Brush Creek Watershed,BRCD1,36.096829,-93.886244,2188397,BR,,tributary off 7275. Between BRM04 and BRD01,2137400,,,
Arkansas ,Brush Creek Watershed,BRMQ4,36.096575,-93.885533,17622012,BR,,mainstem off 7275. walk upstream from BRCD and upstream of BRD merge,17369600,,,
Arkansas ,Brush Creek Watershed,BRD01,36.091889,-93.882786,2360639,BR,,3 reps of nuts. and DOC,2318900,,,
Arkansas ,Brush Creek Watershed,BRE01,36.093958,-93.868042,2139884,BR,,,2066300,,,
Arkansas ,Brush Creek Watershed,BRM05,36.091175,-93.868758,11640030,BR,,,11336600,,,
Arkansas ,Brush Creek Watershed,BRF01,36.081794,-93.852089,1106415,BR,,,1104800,,,
Arkansas ,Brush Creek Watershed,BRM06,36.078976,-93.850604,5693321,BR,,,5591200,,,
Arkansas ,Brush Creek Watershed,BRM07,36.062461,-93.853161,1249625,BR,,,1325600,should capture one more leg?>,,
Arkansas ,Brush Creek Watershed,BRC01,36.103484,-93.883004,5970704,BR,,sample on the way back,5992800,captures one more leg than it should,,
Arkansas ,Brush Creek Watershed,BRA02,36.129714,-93.915326,843581.7,BR,,"3 reps of nuts. and DOC, upstream BRA off of 7220, sample on the way back",819900,"check, does not capture that much",,
Nevada,Dog Valley Watershed,DVO,39.52449,-119.99582,68638085,DV,Outlet,USGS + s::can,,,,
Nevada,Dog Valley Watershed,DVSB1,39.52591,-120.00631,5706562,DV,Tributary,PT + ruler,,,,
Nevada,Dog Valley Watershed,DVSB2,39.53887,-120.02994,94968.68,DV,Tributary,PT + ruler,,,,
Nevada,Dog Valley Watershed,DVMS1,39.56421,-120.02703,51201839,DV,Mainstem,PT + s::can + ruler,,,,
Nevada,Dog Valley Watershed,DVMS2,39.56252,-120.03432,22260569,DV,Mainstem,,,,,
Nevada,Dog Valley Watershed,DVMS3,39.55557,-120.04266,3102310,DV,Mainstem,,,,,
Nevada,Dog Valley Watershed,DVMS4,39.55483,-120.04284,13277676,DV,Mainstem,,,", ",,
Nevada,Dog Valley Watershed,DVMS5,39.54919,-120.04922,12362812,DV,Mainstem,PT + ruler,,,,
Nevada,Dog Valley Watershed,DVMS6,39.54898,-120.05046,10011809,DV,Mainstem,,,,,
Nevada,Dog Valley Watershed,DVET,39.56899,-120.03166,6928368,DV,Tributary,PT + ruler,,,,", "
Nevada,Dog Valley Watershed,DVNWT1,39.56942,-120.03231,11894365,DV,Tributary,,,,,
Nevada,Dog Valley Watershed,DVNWT2,39.57017,-120.04246,4424291,DV,Tributary,,,,,
Nevada,Dog Valley Watershed,DVNWT3,39.58112,-120.05972,736679.2,DV,Tributary,,,,,", "
Nevada,Dog Valley Watershed,DVNWT4,39.58822,-120.05754,4305963,DV,Tributary,PT + ruler,,,,
Nevada,Dog Valley Watershed,DVNWT5,39.58014,-120.06499,1201451,DV,Tributary,PT + s::can + ruler + miniDot,,,,
Nevada,Dog Valley Watershed,DVWT1,39.56627,-120.05543,65342.07,DV,Tributary,,,,,
Nevada,Dog Valley Watershed,DVWT2,39.56453,-120.06515,537491.3,DV,Tributary,,,,,
Nevada,Dog Valley Watershed,DVWT3,39.56572,-120.06637,215283.6,DV,Tributary,PT + ruler,,,,
Nevada,Dog Valley Watershed,DVWT4,39.55587,-120.06003,2215148,DV,Tributary,,,,,
Nevada,Dog Valley Watershed,DVWT5,39.54921,-120.05006,2092477,DV,Tributary,Ruler,,,,
New  Hampshire,Lamprey River Watershed,LMP00,43.20068,-71.20568,1091413,NH,Mainstem,Level ruler,,,,
New  Hampshire,Lamprey River Watershed,DCR,43.20208,-71.20087,1248021,NH,Tributary,Level ruler,All-set,,,
New  Hampshire,Lamprey River Watershed,OMC,43.19214,-71.20587,167909.6,NH,Tributary,Level ruler,,,,
New  Hampshire,Lamprey River Watershed,LMP01,43.19484,-71.20913,5212464,NH,Mainstem,PT,,,,
New  Hampshire,Lamprey River Watershed,SMB,43.17078,-71.21722,159837.1,NH,Tributary,PT + s::can,,,,
New  Hampshire,Lamprey River Watershed,CTB,43.16947,-71.23405,1677482,NH,Tributary,PT + s::can,,,,
New  Hampshire,Lamprey River Watershed,LMP07,43.16251,-71.23361,15110252,NH,Mainstem,PT + s::can,,,,
New  Hampshire,Lamprey River Watershed,LMP09,43.15057,-71.23374,15110252,NH,Mainstem,Level ruler,,,,
New  Hampshire,Lamprey River Watershed,PRC,43.14746,-71.22605,663566,NH,Tributary,Level ruler,,,,
New  Hampshire,Lamprey River Watershed,LST01,43.20068,-71.20568,2947458,NH,Tributary,Level ruler,,,,
New  Hampshire,Lamprey River Watershed,NCB,43.11665,-71.24372,9830564,NH,Tributary,Level ruler,,,,
New  Hampshire,Lamprey River Watershed,NCB-down,43.11545,-71.24196,10309728,NH,Tributary,PT + s::can,,,,
New  Hampshire,Lamprey River Watershed,LMP12,43.10685,-71.242,43862558,NH,Mainstem,PT,,,,
New  Hampshire,Lamprey River Watershed,HRB,43.10987,-71.26878,22326123,NH,Tributary,PT,,,,
New  Hampshire,Lamprey River Watershed,LMP19,43.08741,-71.23441,83120763,NH,Mainstem,PT,,,,
New  Hampshire,Lamprey River Watershed,NBR-up,43.07892,-71.28523,29732779,NH,Tributary,Level ruler,"FUera de los l'imites, revisar",,,
New  Hampshire,Lamprey River Watershed,NBR,43.06295,-71.24406,43217997,NH,Tributary,PT,,,,
New  Hampshire,Lamprey River Watershed,DDB,43.05203,-71.21189,8226054,NH,Tributary,PT,,,,
New  Hampshire,Lamprey River Watershed,LMP27,43.04132,-71.2016,153256263,NH,Outlet,USGS + s::can,,,,
New  Hampshire,Lamprey River Watershed,LMP72,43.10444,-70.96309,330828861,NH,Mainstem,USGS + s::can,,,,
Alabama,South Sandy Watershed,SSM01,32.96873,-87.39731,29504605,SS,Mainstem,PT + ruler + s::can,There are ADEM samples from this watershed since the 1970s,,,
Alabama,South Sandy Watershed,SST02,32.97425,-87.3864,411739.8,SS,Tributary,Level ruler,,,,
Alabama,South Sandy Watershed,SST03,33.01595,-87.3956,2205701,SS,Tributary,PT + ruler,,,,
Alabama,South Sandy Watershed,SST04,32.9768,-87.41092,5130301,SS,Tributary,PT + ruler,,,,
Alabama,South Sandy Watershed,SST05,32.997,-87.44944,7918287,SS,Tributary,PT + ruler,,,,
Alabama,South Sandy Watershed,SST06,33.00832,-87.49007,521826.2,SS,Tributary,PT + ruler,,,,
Alabama,South Sandy Watershed,SST07,33.01306,-87.47651,1745048,SS,Tributary,PT + ruler,,,,
Alabama,South Sandy Watershed,SST08,32.99454,-87.38682,11319044,SS,Tributary,PT + ruler,,,,
Alabama,South Sandy Watershed,SST09,33.00814,-87.47543,6193105,SS,Tributary,PT + ruler,,,,
Alabama,South Sandy Watershed,SSM10,33.00176,-87.43846,85916874,SS,Mainstem,Level ruler,,,,
Alabama,South Sandy Watershed,SST11,33.01157,-87.38938,118176.3,SS,Tributary,Level ruler,,,,
Alabama,South Sandy Watershed,SST12,32.98992,-87.38785,312826.3,SS,Tributary,Level ruler,,,,
Alabama,South Sandy Watershed,SST13,32.96883,-87.38293,11167962,SS,Tributary,PT + ruler + s::can,,,,
Alabama,South Sandy Watershed,SST14,32.98617,-87.42578,599306.7,SS,Tributary,Level ruler,,,,
Alabama,South Sandy Watershed,SST15,32.99559,-87.43097,823119.5,SS,Tributary,Level ruler,,,,
Alabama,South Sandy Watershed,SST16,33.00104,-87.46028,1067804,SS,Tributary,Level ruler,,,,
Alabama,South Sandy Watershed,SST17,33.01262,-87.47213,5202147,SS,Tributary,Level ruler,,,,
Alabama,South Sandy Watershed,SST18,33.00934,-87.46167,690652.3,SS,Tributary,Level ruler,,,,
Alabama,South Sandy Watershed,SST19,33.00317,-87.4378,6684159,SS,Tributary,Level ruler,,,,
Alabama,South Sandy Watershed,SSM20,33.01278,-87.48509,122263625,SS,Outlet,PT + ruler + s::can,,,,
Alabama,South Sandy Watershed,MAYFNEON ,32.96497,-87.40885,17217707,SS,,,,,,
